Epoch,Loss,PSNR,SSIM,Time(s)
0,1.2909944232702255,10.742171711370094,0.1606184726374017,5.42
1,0.7106197475641965,12.807649666729136,0.17777622822258207,4.36
2,0.6118016599565744,12.908228928422385,0.18891731525460878,5.01
3,0.6044682961404324,13.075054891502809,0.19133822123209634,5.01
4,0.5737615629136562,13.324004800315366,0.18709547321001688,4.85
5,0.5950871104151011,13.610091988976095,0.201880584574408,4.64
6,0.5959975174218416,14.340311439887952,0.21194147028856808,4.31
7,0.5914967896193266,14.696113912097353,0.2203509563373195,4.64
8,0.5684124736487866,15.328291576211756,0.22672466105884975,4.85
9,0.5866831171438098,15.6604766250616,0.229589667585161,4.5
10,0.5854994438812137,15.43753796778522,0.2324720960524347,4.82
11,0.5798638002052903,16.312732882576526,0.2420334687663449,4.79
12,0.5689659417420626,16.61982798132111,0.24863783684041765,4.16
13,0.5548021039515734,17.104632027658457,0.2603655552698506,4.65
14,0.5835084045976401,17.895177628160894,0.2708763997587893,4.67
15,0.5463076812624932,17.607432351433065,0.27358170681529576,4.38
16,0.5286628107726574,18.04328867892313,0.2673821072611544,3.99
17,0.5641103027686477,17.570884687826954,0.2647613195909394,4.09
18,0.5609425021708012,17.54618851632767,0.268236644152138,4.77
19,0.5469513073116541,17.579845287302813,0.2788020297884941,4.45
20,0.5363798033222557,17.7968614848735,0.27941515752010876,3.88
21,0.5542920079901814,18.212123513143204,0.2872346474064721,4.29
22,0.5122944083213806,18.44494379342503,0.27881523221731186,4.98
23,0.5463479631319642,17.717027096711135,0.2726512721015347,4.71
24,0.5201149125173687,18.12380629689214,0.27658135319749516,4.35
25,0.5413837665021419,18.093961913174308,0.27327032221688163,4.38
26,0.5435766008868813,17.919565895831933,0.28605346671409076,4.44
27,0.5237353875413537,18.221705023142608,0.27359551025761497,4.69
28,0.5373326565399766,18.76498135223274,0.2917448956933286,4.76
29,0.5695588328093291,18.169582022502446,0.2832091409299109,4.56
30,0.5262622955590487,18.107587112317773,0.26893595937225556,4.82
