filename,psnr,ssim
test017,25.9749,0.445082
test047,24.0416,0.668284
test043,24.8267,0.582231
test002,24.0835,0.418109
test040,23.6565,0.571289
test051,23.5416,0.599182
test046,23.0358,0.671626
test019,23.8995,0.549344
test014,25.2708,0.48466
test032,24.1224,0.719627
test038,24.9315,0.422747
test026,24.4406,0.593981
test041,24.3348,0.587643
test010,25.2118,0.535632
test042,24.2749,0.512682
test059,24.8677,0.478302
test063,23.8447,0.703963
test029,21.9189,0.522825
test021,23.3703,0.475386
test044,23.4472,0.591104
test005,23.1134,0.631331
test061,25.0367,0.465604
test039,25.0653,0.382701
test006,24.5647,0.467711
test028,24.7225,0.479932
test001,24.2666,0.456315
test052,24.1715,0.475635
test016,24.093,0.697909
test045,25.3239,0.33393
test050,22.9853,0.633552
test060,25.4285,0.448168
test062,25.4543,0.369719
test009,25.1253,0.574974
test011,23.3623,0.651748
test004,25.2904,0.539455
test055,24.3017,0.447429
test022,23.9612,0.685953
test036,24.4314,0.510981
test064,24.3132,0.455715
test025,24.9386,0.520802
test003,24.19,0.405375
test056,21.9227,0.703663
test058,24.9346,0.453265
test054,24.4691,0.444516
test068,22.9426,0.631854
test067,22.9095,0.555304
test053,24.8818,0.458657
test012,24.8468,0.61178
test035,24.7156,0.585102
test007,24.8008,0.635526
Average,24.2732,0.536966
