filename,psnr,ssim
test017,19.884,0.171102
test047,19.1838,0.387481
test043,19.5569,0.325193
test002,19.3562,0.223814
test040,19.1403,0.311008
test051,18.8684,0.344435
test046,18.7982,0.427524
test019,19.3325,0.307174
test014,19.5289,0.227617
test032,19.1511,0.441388
test038,19.5163,0.218954
test026,19.4519,0.326675
test041,19.4648,0.340741
test010,19.5089,0.251623
test042,19.2778,0.26085
test059,19.4378,0.212116
test063,19.1529,0.432551
test029,18.3962,0.3958
test021,19.0784,0.321831
test044,19.1086,0.348035
test005,19.2044,0.362943
test061,19.4183,0.210565
test039,19.4448,0.18507
test006,19.6982,0.201207
test028,20.1548,0.218385
test001,19.3348,0.270267
test052,19.6227,0.205073
test016,19.1469,0.453448
test045,19.53,0.13544
test050,19.0639,0.376434
test060,19.463,0.178911
test062,19.7426,0.18929
test009,19.7306,0.311977
test011,18.9875,0.401888
test004,19.503,0.243738
test055,19.3891,0.267271
test022,19.2286,0.435454
test036,19.3258,0.240802
test064,19.3458,0.272906
test025,19.4616,0.285416
test003,19.2754,0.22404
test056,18.5237,0.495536
test058,19.4121,0.17716
test054,19.3789,0.257945
test068,19.3174,0.413961
test067,18.8061,0.412242
test053,19.3998,0.180639
test012,19.3589,0.324885
test035,19.4602,0.322661
test007,19.4129,0.353132
Average,19.3267,0.297692
