Epoch,Loss,PSNR,SSIM,Time(s)
0,0.7373304018974304,10.07163833702679,0.14648191361791557,5.6
1,0.3822780170291662,11.832258340435656,0.21761265438463953,5.05
2,0.3104563702195883,12.138213227174372,0.23914751907189688,4.99
3,0.2926165598034859,12.616154439054464,0.24449397830499542,4.8
4,0.2829143731445074,13.5352623935932,0.2578306992848714,4.67
5,0.2799112437441945,14.089776424934263,0.2823130496674114,4.58
6,0.27883408614993094,14.389880082790492,0.2917498118347592,4.65
7,0.2712733347043395,14.444350994260184,0.2887276667687628,4.87
8,0.2534715374931693,14.906668897855631,0.31037520037757027,4.63
9,0.2587477877922356,15.689745502090245,0.3154619385798772,4.9
10,0.2609486096836627,15.179203346474598,0.30375436858998406,5.17
11,0.24723728699237107,17.053182748455967,0.3374711622794469,4.81
12,0.23814578253775834,17.17446496815,0.35367776701847714,5.02
13,0.23106597060337664,18.6214929488041,0.37878333611620796,4.68
14,0.24728660156205295,17.784954962874828,0.35738035870922935,4.77
15,0.2272663238160312,18.12929713797894,0.36902665677997804,4.38
16,0.22397948894277214,19.73754412371928,0.382043730881479,4.57
17,0.23980405058339238,19.045680349876964,0.3928310697277387,4.48
18,0.2336850188113749,18.46590567485632,0.37912678387429977,4.85
19,0.22502255188301207,19.43496469434227,0.4027218139833874,5.02
20,0.21840101227909325,20.063521429673138,0.4159223975406753,4.68
21,0.2244993664473295,20.178605942747108,0.4234716792901357,4.82
22,0.2145523752141744,20.730993132974724,0.4273476021157371,4.59
23,0.22480425934866072,20.149670374263298,0.4210354346368048,4.52
24,0.21086630605533718,20.987939300925508,0.4221172034740448,4.8
25,0.22639122918061913,21.501795866433206,0.43745246198442245,4.57
26,0.2233444183729589,21.269165163415224,0.44592177619536716,4.61
27,0.21551319935917854,21.992104120498848,0.44914257526397705,5.04
28,0.21642553029954434,22.636330842273075,0.4573160368535254,4.84
29,0.23322403167560696,21.837259306593484,0.45486266165971756,4.91
30,0.21518648531660436,22.000633513786276,0.44585852159394157,4.63
31,0.2268974032327533,21.27071507788797,0.4583316859271791,4.44
32,0.21174716854467987,22.232023190175358,0.4506748939553897,4.89
33,0.21628862281516195,20.95017940656477,0.44563394371006226,4.55
34,0.21548585264384745,22.45036048097379,0.4606405604216788,4.77
35,0.22211921353451908,22.318054463126007,0.4497413593861792,4.92
36,0.22822980758547784,22.15699177079327,0.4581630561086867,5.05
37,0.19860865700617433,22.285763524106848,0.43836908207999337,4.83
38,0.21507032157480716,21.89066807767419,0.4346681187550227,4.77
39,0.23280791951343416,22.635083170385006,0.45937201711866593,4.82
40,0.2316235829219222,22.86657194356282,0.47145937962664497,4.13
41,0.21052712978236376,22.797520783366352,0.458752390411165,5.04
42,0.21617661551199854,22.77194983575765,0.4664641295870145,4.94
43,0.21064374507404865,22.687277523264967,0.4624651132358445,4.04
44,0.21389587947167457,22.793938827219367,0.4724871963262558,4.24
45,0.2210195286180824,22.367949757000883,0.4518691019879447,4.63
46,0.2161981519460678,22.183766580320867,0.4664166147510211,5.13
47,0.2032599783912301,22.257942936154322,0.4452515244483948,3.99
48,0.19760500858724117,22.814218629828108,0.45536260555187863,4.68
49,0.20270354613289238,22.953872274056113,0.46162759098741746,5.15
50,0.20789071415923535,22.697599305242917,0.45716971076197094,4.82
51,0.20333555516973137,22.217707440825166,0.45891409118970233,4.51
52,0.2107150568626821,22.88417797264576,0.46704254382186466,4.7
53,0.21416230468824507,22.923392603988557,0.47564389556646347,4.85
54,0.2062817439287901,22.57899301726999,0.4662993715869056,4.72
55,0.21766516918316484,22.695720673983818,0.46588169783353806,4.64
56,0.2083560619428754,22.20407709238288,0.46087512373924255,5.21
57,0.22208398256264628,22.779247043458813,0.470316082239151,4.81
58,0.20830574634671212,23.03580119617733,0.4730177968740463,4.84
59,0.21492178747989238,23.00644064721713,0.4755457647972637,4.88
60,0.2161145098209381,22.94662343167586,0.4707493351565467,4.32
61,0.2051467150459066,22.625914768735306,0.46893347799777985,4.5
62,0.20835945505276324,22.768622379051425,0.4741131563981374,4.67
63,0.21744933487661183,22.54448300230002,0.46920572055710685,4.67
64,0.20532480873912573,23.008085752041943,0.4662890202469296,4.05
65,0.20762203720770775,23.11940485839229,0.4737887970275349,5.07
66,0.19877140416018665,22.790582624149962,0.4672749754455354,4.69
67,0.21734263032302262,23.069374543186726,0.48009372668133843,4.68
68,0.19797258354723454,22.665697043511827,0.4678810023599201,4.87
69,0.2183674843441695,23.057273506124787,0.4756975836224026,4.8
70,0.21109269249811768,22.973407652237047,0.47406576739417183,4.66
71,0.19753145301993935,22.765038885112304,0.4640990263885922,4.25
72,0.20498522944562136,22.886350143982575,0.47066066993607414,4.58
73,0.2101012728959322,23.020861203303014,0.47435393349991906,4.82
74,0.20453094444144518,22.805069349083315,0.46273647331529194,4.2
75,0.22068645685166122,22.813062815629696,0.4729922256535954,4.53
76,0.2070053734369576,22.899991975976757,0.4648418244388368,4.68
77,0.20839614295586945,23.07812394460844,0.4723515742354923,4.37
78,0.21737698175758124,22.79914937316646,0.47410991456773544,4.76
79,0.20319197388738394,23.05854395428727,0.4729948060380088,4.93
80,0.20864802907034755,22.950906659978063,0.47472727878226173,4.37
81,0.20668904578313232,22.998947727217363,0.4729873662193616,4.1
82,0.21073660364188254,22.943333313572605,0.46909627318382263,4.76
83,0.2196526414528489,22.981407991694784,0.47845778200361466,5.08
84,0.20900022746995092,22.92695031547267,0.4665326260858112,4.63
85,0.22191344978287816,23.27093542920126,0.4791516595416599,4.2
86,0.20940230222791434,23.22012768898632,0.47498489336835015,4.57
87,0.19642043907567858,22.86199261474995,0.4590575512912538,4.56
88,0.20559006290882825,23.02538780266678,0.4656085545818011,4.41
89,0.20900359348207712,23.050086103410578,0.47364745951361126,11.54
90,0.2154619338288903,23.357673765679213,0.482123742500941,5.13
91,0.20298327795788645,23.10101251931883,0.47371092190345127,5.11
