filename,psnr,ssim
test001,20.4236,0.290691
test002,20.2909,0.238906
test003,20.1213,0.236481
test004,19.2029,0.245087
test005,19.2789,0.377782
test006,19.6325,0.209441
test007,19.3203,0.360658
test009,20.1349,0.331971
test010,19.0866,0.247988
test011,19.2803,0.425876
test012,19.0018,0.325136
test014,19.2544,0.227434
test016,19.0295,0.461227
test017,20.2898,0.202404
test019,19.183,0.313991
test021,20.4039,0.351868
test022,19.3387,0.449383
test025,19.3567,0.290065
test026,19.2866,0.331184
test028,22.2604,0.298363
test029,19.2454,0.413153
test032,18.797,0.443156
test035,19.4093,0.33202
test036,18.6874,0.22399
test038,20.4997,0.23433
test039,20.1364,0.192713
test040,18.8429,0.309962
test041,19.5863,0.355572
test042,19.032,0.261719
test043,19.5326,0.335924
test044,18.951,0.347115
test045,20.0266,0.136957
test046,18.6652,0.430704
test047,18.7581,0.386043
test050,18.9199,0.382548
test051,18.5138,0.339266
test052,19.5495,0.215029
test053,19.0502,0.176064
test054,20.2012,0.269867
test055,20.3008,0.28146
test056,18.2952,0.494085
test058,18.8452,0.169501
test059,19.1441,0.208985
test060,18.9093,0.170256
test061,19.2289,0.212596
test062,21.6705,0.235725
test063,19.0689,0.447121
test064,20.1213,0.280775
test067,19.6503,0.430733
test068,19.7635,0.444047
Average,19.5116,0.307547
