filename,psnr,ssim
test001,24.676,0.466938
test002,24.5617,0.420568
test003,24.6578,0.409745
test004,24.9183,0.518675
test005,23.3247,0.631702
test006,24.4887,0.455094
test007,24.5525,0.623683
test009,24.9329,0.565305
test010,24.8504,0.518139
test011,23.6541,0.652722
test012,24.6275,0.606618
test014,24.886,0.464216
test016,24.0829,0.692372
test017,25.7081,0.429793
test019,23.8427,0.542986
test021,24.0211,0.487416
test022,23.9987,0.686506
test025,24.697,0.506987
test026,24.3591,0.588279
test028,25.2751,0.484903
test029,22.4786,0.540951
test032,24.0695,0.719432
test035,24.5569,0.57476
test036,24.2157,0.502159
test038,25.2494,0.423301
test039,25.3662,0.374998
test040,23.7207,0.563058
test041,24.3024,0.587198
test042,24.1463,0.501441
test043,24.648,0.568824
test044,23.4568,0.589457
test045,25.5164,0.326425
test046,23.1442,0.672302
test047,23.9783,0.665473
test050,23.2574,0.640764
test051,23.5171,0.587138
test052,24.1208,0.465398
test053,24.6033,0.446733
test054,24.9081,0.449295
test055,24.8022,0.454444
test056,22.116,0.712361
test058,24.6435,0.437771
test059,24.5815,0.4624
test060,24.9756,0.428869
test061,24.7665,0.452533
test062,26.0998,0.377527
test063,23.927,0.706439
test064,24.7083,0.463972
test067,23.6286,0.573664
test068,23.2856,0.642412
Average,24.3381,0.533283
